time_sec,distance_m,battery_pct,behaviour
9.0,0.946,98.8,CLEAN
12.0,1.460,98.4,CLEAN
14.0,2.685,98.1,CLEAN
17.0,3.708,97.7,CLEAN
19.0,4.982,97.5,CLEAN
21.0,5.798,97.2,CLEAN
23.0,6.576,96.9,CLEAN
26.0,7.834,96.5,CLEAN
28.0,8.845,96.3,CLEAN
31.0,9.891,95.9,CLEAN
33.0,10.447,95.6,CLEAN
35.0,11.146,95.3,CLEAN
38.0,12.146,94.9,CLEAN
40.0,13.154,94.7,CLEAN
43.0,14.107,94.4,CLEAN
45.0,15.375,94.0,CLEAN
47.0,16.361,93.7,CLEAN
50.0,17.369,93.3,CLEAN
52.0,18.636,93.1,CLEAN
55.0,19.436,92.7,CLEAN
57.0,20.006,92.4,CLEAN
60.0,20.503,92.0,CLEAN
62.0,21.415,91.7,CLEAN
65.0,22.424,91.3,CLEAN
67.0,23.423,91.1,CLEAN
70.0,24.694,90.7,CLEAN
72.0,25.708,90.4,CLEAN
75.0,26.973,90.0,CLEAN
77.0,27.984,89.7,CLEAN
80.0,29.216,89.3,CLEAN
82.0,29.765,89.1,CLEAN
84.0,30.275,88.8,CLEAN
86.0,30.752,88.5,CLEAN
89.0,31.390,88.1,CLEAN
91.0,32.243,87.9,CLEAN
94.0,33.269,87.5,CLEAN
96.0,34.534,87.2,CLEAN
99.0,35.456,86.9,CLEAN
101.0,36.707,86.5,CLEAN
103.0,37.721,86.3,CLEAN
106.0,38.976,85.9,CLEAN
108.0,39.786,85.6,CLEAN
111.0,40.336,85.2,CLEAN
113.0,40.853,84.9,CLEAN
115.0,41.659,84.7,CLEAN
117.0,42.635,84.4,CLEAN
120.0,43.884,84.0,CLEAN
122.0,44.899,83.7,CLEAN
125.0,45.917,83.3,CLEAN
127.0,47.158,83.1,CLEAN
130.0,48.169,82.7,CLEAN
132.0,49.411,82.4,CLEAN
135.0,50.089,82.0,CLEAN
137.0,50.759,81.7,CLEAN
140.0,51.297,81.3,CLEAN
142.0,52.017,81.1,CLEAN
145.0,53.037,80.8,CLEAN
147.0,54.039,80.4,CLEAN
149.0,55.041,80.1,CLEAN
151.0,56.298,79.9,CLEAN
154.0,57.280,79.5,CLEAN
156.0,58.288,79.2,CLEAN
158.0,59.229,78.9,CLEAN
161.0,60.155,78.5,CLEAN
163.0,60.703,78.3,CLEAN
166.0,61.284,77.9,CLEAN
169.0,61.961,77.6,CLEAN
171.0,63.088,77.2,CLEAN
173.0,64.106,76.9,CLEAN
176.0,65.082,76.5,CLEAN
178.0,66.339,76.3,CLEAN
181.0,67.363,76.0,CLEAN
183.0,68.359,75.7,CLEAN
184.0,68.845,75.5,CLEAN
185.0,69.344,75.3,CLEAN
185.0,69.619,75.3,CLEAN
186.0,69.882,75.2,CLEAN
187.0,70.177,75.1,CLEAN
189.0,70.418,74.8,CLEAN
190.0,70.799,74.7,CLEAN
192.0,71.321,74.4,CLEAN
195.0,71.872,74.0,CLEAN
196.0,72.243,73.9,CLEAN
198.0,72.994,73.6,CLEAN
201.0,74.234,73.2,CLEAN
203.0,75.089,72.9,CLEAN
205.0,76.054,72.7,CLEAN
208.0,77.084,72.4,CLEAN
210.0,78.352,72.0,CLEAN
213.0,79.628,71.6,CLEAN
215.0,80.585,71.3,CLEAN
217.0,81.135,71.1,CLEAN
220.0,81.635,70.7,CLEAN
221.0,81.755,70.5,CLEAN
223.0,82.529,70.3,CLEAN
226.0,83.411,70.0,CLEAN
228.0,84.677,69.6,CLEAN
230.0,85.669,69.3,CLEAN
233.0,86.930,68.9,CLEAN
236.0,87.938,68.5,CLEAN
238.0,89.192,68.3,CLEAN
241.0,90.437,67.9,CLEAN
244.0,91.116,67.6,CLEAN
246.0,91.751,67.2,CLEAN
248.0,92.223,66.9,CLEAN
251.0,92.889,66.7,CLEAN
253.0,93.973,66.3,CLEAN
256.0,94.972,65.9,CLEAN
258.0,96.281,65.6,CLEAN
260.0,97.276,65.3,CLEAN
263.0,98.173,64.9,CLEAN
265.0,99.188,64.7,CLEAN
268.0,100.424,64.3,CLEAN
270.0,101.228,64.0,CLEAN
273.0,101.910,63.6,CLEAN
275.0,102.438,63.3,CLEAN
278.0,103.255,62.9,CLEAN
280.0,104.231,62.7,CLEAN
283.0,105.736,62.3,CLEAN
286.0,106.741,61.9,CLEAN
289.0,108.011,61.5,CLEAN
291.0,109.246,61.2,CLEAN
294.0,110.504,60.8,CLEAN
297.0,111.541,60.4,CLEAN
299.0,112.046,60.1,CLEAN
302.0,112.702,59.7,CLEAN
304.0,113.268,59.5,CLEAN
306.0,114.165,59.2,CLEAN
309.0,115.368,58.8,CLEAN
312.0,116.642,58.4,CLEAN
314.0,117.925,58.1,CLEAN
317.0,119.183,57.7,CLEAN
320.0,120.402,57.3,CLEAN
322.0,121.353,57.1,CLEAN
325.0,122.174,56.7,CLEAN
328.0,122.749,56.3,CLEAN
330.0,123.723,56.0,CLEAN
333.0,124.957,55.6,CLEAN
335.0,125.936,55.3,CLEAN
337.0,126.883,55.1,CLEAN
340.0,128.122,54.7,CLEAN
343.0,129.139,54.3,CLEAN
345.0,130.422,54.0,CLEAN
348.0,131.430,53.6,CLEAN
350.0,132.634,53.3,CLEAN
353.0,133.904,52.9,CLEAN
355.0,134.819,52.7,CLEAN
358.0,135.325,52.3,CLEAN
360.0,136.505,52.0,CLEAN
363.0,137.783,51.6,CLEAN
366.0,139.056,51.2,CLEAN
369.0,140.294,50.8,CLEAN
372.0,141.309,50.5,CLEAN
374.0,142.576,50.1,CLEAN
376.0,143.561,49.9,CLEAN
379.0,144.509,49.5,CLEAN
382.0,144.972,49.2,CLEAN
384.0,145.444,48.8,CLEAN
387.0,146.259,48.4,CLEAN
389.0,147.464,48.1,CLEAN
391.0,148.495,47.9,CLEAN
394.0,149.740,47.5,CLEAN
397.0,150.959,47.1,CLEAN
399.0,151.945,46.8,CLEAN
402.0,152.962,46.5,CLEAN
404.0,154.182,46.1,CLEAN
407.0,154.736,45.9,CLEAN
409.0,155.427,45.5,CLEAN
412.0,156.120,45.1,CLEAN
415.0,157.004,44.7,CLEAN
417.0,158.115,44.4,CLEAN
420.0,159.052,44.0,CLEAN
422.0,160.056,43.7,CLEAN
425.0,161.318,43.3,CLEAN
427.0,162.335,43.1,CLEAN
430.0,163.558,42.7,CLEAN
432.0,164.825,42.4,CLEAN
435.0,165.351,42.0,CLEAN
437.0,165.907,41.7,CLEAN
440.0,166.527,41.3,CLEAN
442.0,167.296,41.1,CLEAN
445.0,168.317,40.7,CLEAN
447.0,169.582,40.4,CLEAN
450.0,170.573,40.0,CLEAN
452.0,171.831,39.7,WANDER
455.0,173.104,39.3,WANDER
458.0,174.070,39.1,WANDER
460.0,175.311,38.7,WANDER
463.0,176.581,38.3,WANDER
465.0,177.184,38.0,AVOID
467.0,177.719,37.7,AVOID
470.0,178.227,37.3,AVOID
472.0,178.912,37.1,AVOID
475.0,179.513,36.7,AVOID
477.0,180.143,36.4,AVOID
480.0,180.714,36.0,AVOID
482.0,181.139,35.7,AVOID
485.0,181.595,35.3,AVOID
488.0,182.251,34.9,AVOID
491.0,182.649,34.7,AVOID
493.0,183.025,34.3,AVOID
495.0,183.715,34.0,AVOID
498.0,184.148,33.7,AVOID
500.0,184.658,33.3,AVOID
502.0,185.192,33.1,AVOID
505.0,186.081,32.7,WANDER
507.0,187.325,32.4,WANDER
510.0,188.525,32.0,WANDER
513.0,189.785,31.6,WANDER
516.0,191.046,31.2,WANDER
518.0,192.054,30.9,WANDER
521.0,193.277,30.5,WANDER
524.0,194.067,30.1,AVOID
526.0,194.570,29.9,AVOID
529.0,195.131,29.5,AVOID
531.0,195.674,29.2,AVOID
534.0,196.281,28.8,AVOID
537.0,196.990,28.4,AVOID
539.0,197.606,28.1,AVOID
542.0,198.164,27.7,AVOID
544.0,198.757,27.5,AVOID
547.0,199.153,27.1,AVOID
549.0,199.600,26.8,AVOID
551.0,200.092,26.5,AVOID
553.0,200.595,26.3,AVOID
555.0,201.120,26.0,AVOID
558.0,202.254,25.6,WANDER
561.0,203.368,25.2,WANDER
563.0,204.033,24.9,WANDER
566.0,205.300,24.5,WANDER
568.0,206.554,24.3,WANDER
571.0,207.840,23.9,WANDER
574.0,209.090,23.5,WANDER
576.0,210.092,23.2,WANDER
579.0,210.882,22.8,AVOID
581.0,211.244,22.5,AVOID
583.0,211.865,22.3,AVOID
586.0,213.098,21.9,WANDER
588.0,214.066,21.6,WANDER
591.0,215.232,21.2,AVOID
594.0,215.817,20.8,AVOID
596.0,216.276,20.5,AVOID
599.0,216.774,20.3,AVOID
601.0,217.498,19.9,AVOID
604.0,218.126,19.5,AVOID
607.0,218.853,19.1,AVOID
610.0,219.464,18.7,AVOID
613.0,219.972,18.4,AVOID
615.0,220.685,18.0,AVOID
617.0,221.158,17.7,AVOID
620.0,221.597,17.3,AVOID
622.0,222.242,17.1,AVOID
625.0,222.825,16.7,AVOID
627.0,223.340,16.4,AVOID
630.0,223.884,16.0,AVOID
632.0,224.307,15.7,AVOID
635.0,224.753,15.3,AVOID
