time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,distance_m,behaviour,sonar_0,sonar_1,sonar_2,cam_score,clean_phase,wp_index
9.0,1.79,-0.78,98.8,1.4900,-0.8000,0.946,CLEAN,0.800,1.000,1.000,0.288,NAVIGATING,0
12.0,1.62,-0.94,98.4,2.6000,-0.7000,1.460,CLEAN,1.000,1.000,1.000,0.356,NAVIGATING,0
14.0,1.26,-0.97,98.1,4.4000,0.2800,2.685,CLEAN,1.000,1.000,1.000,0.386,NAVIGATING,0
17.0,0.79,-1.11,97.7,6.0600,1.8100,3.708,CLEAN,1.000,1.000,1.000,0.372,NAVIGATING,0
19.0,0.40,-1.22,97.5,8.0300,3.8200,4.982,CLEAN,0.900,1.000,1.000,0.345,NAVIGATING,0
21.0,0.05,-1.32,97.2,9.2900,5.1100,5.798,CLEAN,0.800,1.000,1.000,0.384,NAVIGATING,0
23.0,-0.20,-1.39,96.9,10.5300,6.3000,6.576,CLEAN,1.000,0.800,1.000,0.394,NAVIGATING,0
26.0,-0.68,-1.52,96.5,12.4900,8.2700,7.834,CLEAN,0.600,0.700,0.900,0.329,NAVIGATING,0
28.0,-1.06,-1.63,96.3,14.0700,9.8500,8.845,CLEAN,0.500,0.600,0.800,0.314,NAVIGATING,0
31.0,-1.50,-1.75,95.9,15.6700,11.5100,9.891,CLEAN,0.400,0.400,0.600,0.408,NAVIGATING,0
33.0,-1.66,-1.80,95.6,15.6600,12.4000,10.447,CLEAN,0.400,0.400,0.400,0.448,NAVIGATING,1
35.0,-1.66,-1.80,95.3,15.1300,13.5300,11.146,CLEAN,1.000,1.000,0.800,0.273,NAVIGATING,1
38.0,-1.32,-1.86,94.9,16.2300,15.2700,12.146,CLEAN,1.000,1.000,1.000,0.385,NAVIGATING,1
40.0,-0.95,-1.85,94.7,17.8400,16.8100,13.154,CLEAN,1.000,1.000,1.000,0.371,NAVIGATING,1
43.0,-0.47,-1.86,94.4,19.3300,18.3000,14.107,CLEAN,1.000,1.000,1.000,0.449,NAVIGATING,1
45.0,-0.08,-1.85,94.0,21.3100,20.2800,15.375,CLEAN,1.000,1.000,1.000,0.415,NAVIGATING,1
47.0,0.31,-1.85,93.7,22.8500,21.8200,16.361,CLEAN,1.000,1.000,1.000,0.431,NAVIGATING,1
50.0,0.81,-1.85,93.3,24.4200,23.4000,17.369,CLEAN,1.000,1.000,1.000,0.370,NAVIGATING,1
52.0,1.20,-1.85,93.1,26.4000,25.3800,18.636,CLEAN,1.000,1.000,0.900,0.327,NAVIGATING,1
55.0,1.57,-1.85,92.7,27.6400,26.6400,19.436,CLEAN,0.900,0.800,0.600,0.490,NAVIGATING,1
57.0,1.69,-1.85,92.4,27.4200,27.6600,20.006,CLEAN,1.000,1.000,0.900,0.297,NAVIGATING,2
60.0,1.76,-1.68,92.0,27.8100,28.5100,20.503,CLEAN,1.000,1.000,1.000,0.279,NAVIGATING,3
62.0,1.68,-1.62,91.7,27.6600,30.1300,21.415,CLEAN,1.000,0.800,1.000,0.408,NAVIGATING,3
65.0,1.21,-1.63,91.3,29.2400,31.6900,22.424,CLEAN,0.600,0.700,1.000,0.369,NAVIGATING,3
67.0,0.82,-1.60,91.1,30.7900,33.2600,23.423,CLEAN,0.600,0.700,1.000,0.385,NAVIGATING,3
70.0,0.43,-1.59,90.7,32.7800,35.2400,24.694,CLEAN,0.600,0.800,1.000,0.317,NAVIGATING,3
72.0,-0.07,-1.57,90.4,34.3800,36.8100,25.708,CLEAN,0.600,0.800,1.000,0.326,NAVIGATING,3
75.0,-0.47,-1.55,90.0,36.3300,38.8100,26.973,CLEAN,0.600,0.800,1.000,0.339,NAVIGATING,3
77.0,-0.96,-1.53,89.7,37.9200,40.3800,27.984,CLEAN,0.700,0.800,1.000,0.328,NAVIGATING,3
80.0,-1.35,-1.52,89.3,39.8500,42.3000,29.216,CLEAN,0.700,0.800,0.800,0.389,NAVIGATING,3
82.0,-1.61,-1.52,89.1,40.7300,43.0900,29.765,CLEAN,0.700,0.600,0.600,0.398,NAVIGATING,3
84.0,-1.70,-1.48,88.8,41.6500,42.8200,30.275,CLEAN,0.500,0.500,0.600,0.384,NAVIGATING,4
86.0,-1.74,-1.33,88.5,42.4300,43.2900,30.752,CLEAN,0.500,0.500,0.600,0.341,NAVIGATING,5
89.0,-1.69,-1.26,88.1,43.5800,43.0300,31.390,CLEAN,1.000,1.000,1.000,0.358,NAVIGATING,5
91.0,-1.39,-1.25,87.9,44.9300,43.8700,32.243,CLEAN,1.000,1.000,1.000,0.347,NAVIGATING,5
