time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
0.6,0.00,0.00,99.9,0.00,0.00,0.3,CLEAN
5.4,1.83,-0.78,99.5,0.78,-0.16,0.3,AVOID
11.2,1.86,-1.22,99.0,1.53,0.68,0.3,CLEAN
18.2,1.69,-1.05,98.4,1.14,-0.39,1.0,CLEAN
25.8,1.20,-0.63,97.8,-0.01,-2.38,2.4,CLEAN
33.7,1.11,-0.41,97.2,-2.45,-5.80,3.1,CLEAN
40.9,1.35,-0.38,96.6,-3.10,-5.28,3.8,CLEAN
48.4,1.38,-1.02,95.9,-4.96,-5.47,3.8,CLEAN
55.6,1.48,-1.17,95.3,-5.07,-6.55,4.8,CLEAN
62.5,1.48,-1.49,94.7,-5.86,-7.29,6.2,CLEAN
70.5,1.41,-1.81,94.1,-8.47,-8.58,6.2,AVOID
78.3,1.09,-1.64,93.4,-11.49,-11.84,6.6,CLEAN
86.1,1.19,-1.75,92.8,-13.84,-13.40,6.6,CLEAN
94.0,0.97,-2.13,92.1,-15.53,-12.90,6.6,AVOID
101.9,0.94,-1.72,91.5,-16.46,-16.66,6.9,CLEAN
110.1,0.87,-1.70,90.8,-17.18,-18.25,6.9,CLEAN
118.0,0.87,-1.75,90.1,-19.78,-20.87,6.9,CLEAN
125.6,0.48,-1.52,89.5,-23.02,-21.05,7.6,CLEAN
134.1,0.74,-1.59,88.8,-25.44,-20.29,7.6,CLEAN
141.8,0.74,-1.29,88.2,-24.82,-21.60,8.7,CLEAN
148.8,0.83,-1.31,87.6,-27.86,-23.60,9.0,CLEAN
156.9,0.83,-1.25,86.8,-27.50,-23.27,9.0,CLEAN
165.1,0.97,-1.18,86.2,-28.66,-24.72,9.3,CLEAN
172.9,0.19,-1.25,85.6,-32.24,-24.38,10.4,CLEAN
181.0,0.27,-1.20,84.8,-31.88,-25.35,11.4,CLEAN
188.7,0.35,-1.24,84.2,-33.16,-27.93,11.8,CLEAN
196.8,0.38,-1.37,83.6,-36.62,-27.84,11.8,CLEAN
201.0,0.39,-1.06,83.2,-37.36,-29.95,11.8,CLEAN
207.9,0.36,-1.12,82.6,-35.52,-31.29,11.8,CLEAN
273.1,0.85,-1.64,77.2,-32.61,-27.62,12.1,CLEAN
294.4,1.09,-1.38,75.4,-31.48,-25.88,12.1,CLEAN
320.6,1.37,-1.01,73.3,-29.60,-24.05,12.1,CLEAN
364.5,1.40,-0.42,69.6,-27.83,-20.62,12.8,CLEAN
395.3,0.96,-0.23,67.0,-26.08,-18.23,13.1,CLEAN
432.9,0.32,-0.26,63.9,-23.92,-15.31,14.9,CLEAN
467.6,0.37,-0.39,61.0,-24.08,-13.47,14.9,CLEAN
488.2,0.67,-0.58,59.3,-22.96,-11.73,15.6,CLEAN
528.1,1.33,-0.45,55.9,-20.73,-8.76,15.9,CLEAN
576.6,1.53,0.03,52.2,-19.12,-5.29,17.3,CLEAN
608.7,1.07,0.30,49.3,-17.39,-2.54,18.3,CLEAN
667.6,0.10,0.18,44.3,-13.21,1.86,20.1,CLEAN
703.8,-0.60,0.08,41.3,-10.37,4.65,21.1,CLEAN
743.5,-1.35,0.02,38.0,-8.05,7.74,22.5,CLEAN
792.6,-1.09,0.11,33.9,-7.52,8.35,23.2,CLEAN
800.2,-0.77,-0.20,33.3,-7.40,7.46,24.9,CLEAN
808.7,-0.57,-1.42,32.6,-9.66,4.39,27.3,CLEAN
817.1,-1.05,-1.37,31.8,-11.95,4.00,29.4,CLEAN
825.1,-0.81,-1.58,31.2,-11.40,4.87,30.1,CLEAN
839.3,-0.70,-2.09,30.0,-9.97,3.66,30.1,AVOID
867.6,-0.32,-1.94,27.7,-8.46,4.56,30.1,AVOID
896.4,-0.02,-1.95,25.2,-7.23,5.93,30.1,TRACK
934.9,0.38,-1.92,22.0,-6.41,6.96,30.1,AVOID
962.1,0.15,-2.13,19.7,-9.27,7.62,30.1,TRACK
993.7,-0.77,-1.83,17.2,-9.20,9.80,30.1,TRACK
1019.8,-0.47,-1.70,15.0,-8.07,10.59,30.1,TRACK
1029.0,-0.60,-2.07,14.2,-7.30,11.23,30.1,AVOID
1040.9,-0.88,-1.79,13.2,-6.96,12.24,30.1,TRACK
1052.6,-0.34,-1.08,12.3,-2.62,15.66,30.1,TRACK
1064.8,0.58,-0.69,11.2,0.62,18.50,32.5,TRACK
1077.9,1.22,-0.61,10.2,3.05,20.68,32.5,TRACK
1083.8,1.41,-0.63,9.7,3.78,21.28,32.5,TRACK
1084.0,1.41,-0.63,9.6,3.78,21.28,32.5,TRACK
1084.3,1.44,-0.64,9.6,3.92,21.40,32.5,TRACK
1084.6,1.44,-0.64,9.6,3.92,21.40,32.5,TRACK
1084.9,1.47,-0.64,9.5,4.06,21.53,32.5,TRACK
1085.1,1.47,-0.64,9.5,4.06,21.53,32.5,TRACK
