time_sec,tick,event_type,detail
0.00,0,AUTO_MODE,ENABLED
0.00,0,BEHAVIOUR_CHANGE,INIT->CLEAN gps=(0.00,-92233720368547760.00) batt=100%
1.00,150,CLEAN_START,pos=(1.78,-0.78) lane=3/12 dir=LEFT
14.00,435,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.48,-0.67) batt=98%
22.00,619,AVOID_ESCALATE,hard_reverse pos=(0.44,-0.67) batt=97%
25.00,695,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(0.43,-0.50) batt=97%
27.00,724,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.42,-0.42) batt=96%
35.00,879,AVOID_ESCALATE,hard_reverse pos=(0.40,-0.43) batt=95%
38.00,943,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(0.32,-0.35) batt=95%
40.00,976,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.22,-0.28) batt=95%
46.00,1089,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.23,-0.18) batt=94%
50.00,1173,LANE_DONE,lane=1 y=-0.80 reason=timeout driven=2.46m pos=(-0.68,-0.23)
52.00,1278,LANE_ADVANCE,lane=2 y=-0.45 dir=RIGHT pos=(-0.63,-0.34)
66.00,1558,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(0.05,-0.36) batt=91%
73.00,1706,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.02,-0.36) batt=90%
73.00,1713,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-0.05,-0.36) batt=90%
75.00,1748,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-0.21,-0.20) batt=90%
81.00,1858,LANE_DONE,lane=2 y=-0.45 reason=timeout driven=0.01m pos=(-0.64,-0.08)
81.00,1859,LANE_ADVANCE,lane=3 y=-0.10 dir=LEFT pos=(-0.64,-0.08)
96.00,2154,LANE_DONE,lane=3 y=-0.10 reason=boundary driven=1.25m pos=(-1.89,-0.25)
96.00,2166,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-2.03,-0.25) batt=87%
104.00,2321,AVOID_ESCALATE,hard_reverse pos=(-2.18,0.08) batt=86%
111.00,2447,LANE_ADVANCE,lane=4 y=0.25 dir=RIGHT pos=(-1.96,0.19)
111.00,2447,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-1.96,0.19) batt=85%
112.00,2471,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-1.91,0.33) batt=85%
114.00,2496,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-1.84,0.17) batt=85%
116.00,2535,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-1.93,0.06) batt=85%
124.00,2684,AVOID_ESCALATE,hard_reverse pos=(-2.00,-0.05) batt=83%
132.00,2863,AVOID_ESCALATE,hard_reverse pos=(-2.07,0.13) batt=82%
136.00,2937,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-1.75,0.35) batt=82%
143.00,3060,BEHAVIOUR_CHANGE,CLEAN->AVOID gps=(-1.76,0.39) batt=81%
156.00,3130,AVOID_ESCALATE,hard_reverse pos=(-2.17,0.25) batt=79%
161.00,3131,BEHAVIOUR_CHANGE,AVOID->CLEAN gps=(-2.17,0.25) batt=79%
166.00,3132,LANE_DONE,lane=4 y=0.25 reason=timeout driven=0.21m pos=(-2.17,0.25)
458.00,3633,BEHAVIOUR_CHANGE,CLEAN->WANDER gps=(0.00,0.00) batt=40%
458.00,3633,BATTERY_WARN,below40% pos=(0.00,0.00)
458.00,3634,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
463.00,3635,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
468.00,3636,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
473.00,3637,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
478.00,3638,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
483.00,3734,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
488.00,3735,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
493.00,3736,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
498.00,3777,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
503.00,3778,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
508.00,3779,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
513.00,3780,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
518.00,3817,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
528.00,3819,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
533.00,3820,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
538.00,3821,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
543.00,3822,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
548.00,3906,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
553.00,3907,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
558.00,3908,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
563.00,3909,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
568.00,4007,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
573.00,4008,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
578.00,4009,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
583.00,4010,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
588.00,4011,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
594.00,4084,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
599.00,4085,WANDER_STUCK_ESCAPE,moved=0.000m pos=(0.00,0.00)
609.00,4086,BEHAVIOUR_CHANGE,WANDER->TRACK gps=(0.00,0.00) batt=20%
609.00,4086,BATTERY_CRIT,below20% pos=(0.00,0.00)
