gps_x,gps_y,behaviour,battery_pct,time_sec
0.00,-92233720368547760.00,CLEAN,99.9,0.0
0.00,-92233720368547760.00,CLEAN,99.9,0.0
0.00,-92233720368547760.00,CLEAN,99.8,1.0
1.80,-0.78,CLEAN,99.6,3.0
1.76,-0.74,CLEAN,99.3,5.0
1.58,-0.63,CLEAN,99.0,7.0
1.28,-0.67,CLEAN,98.7,9.0
0.89,-0.65,CLEAN,98.4,12.0
0.39,-0.66,AVOID,98.0,15.0
0.46,-0.72,AVOID,97.7,17.0
0.45,-0.71,AVOID,97.5,19.0
0.47,-0.73,AVOID,97.1,21.0
0.48,-0.70,AVOID,96.9,23.0
0.43,-0.50,CLEAN,96.5,25.0
0.33,-0.37,AVOID,96.2,28.0
0.38,-0.39,AVOID,95.8,31.0
0.39,-0.41,AVOID,95.5,33.0
0.37,-0.44,AVOID,95.1,36.0
0.32,-0.35,CLEAN,94.8,38.0
0.14,-0.26,AVOID,94.5,41.0
0.14,-0.25,AVOID,94.2,43.0
-0.34,-0.14,CLEAN,93.8,46.0
-0.68,-0.23,CLEAN,93.5,48.0
-0.67,-0.22,CLEAN,93.2,50.0
-0.67,-0.22,CLEAN,93.1,52.0
-0.60,-0.33,CLEAN,92.8,53.0
-0.60,-0.33,CLEAN,92.5,56.0
-0.70,-0.33,CLEAN,92.2,58.0
-0.69,-0.43,CLEAN,91.9,61.0
-0.35,-0.38,CLEAN,91.5,63.0
0.00,-0.36,CLEAN,91.1,66.0
0.09,-0.35,AVOID,90.9,68.0
0.06,-0.36,AVOID,90.6,70.0
-0.02,-0.36,AVOID,90.3,72.0
-0.21,-0.20,CLEAN,90.0,75.0
-0.31,0.00,CLEAN,89.6,78.0
-0.64,-0.08,CLEAN,89.3,80.0
-0.64,-0.08,CLEAN,88.9,82.0
-0.64,-0.08,CLEAN,88.6,85.0
-0.64,-0.08,CLEAN,88.3,87.0
-0.59,-0.18,CLEAN,88.0,90.0
-0.76,-0.27,CLEAN,87.6,93.0
-1.69,-0.25,CLEAN,87.2,95.0
-2.09,-0.22,AVOID,86.9,98.0
-2.11,-0.25,AVOID,86.6,100.0
-2.05,-0.05,AVOID,86.3,103.0
-2.10,-0.06,AVOID,85.9,105.0
-2.09,0.02,AVOID,85.5,108.0
-1.92,0.30,CLEAN,85.1,111.0
-1.84,0.17,CLEAN,84.8,114.0
-1.98,0.09,AVOID,84.4,116.0
-2.09,0.12,AVOID,84.0,119.0
-2.10,0.06,AVOID,83.7,122.0
-2.06,0.10,AVOID,83.4,124.0
-2.09,0.12,AVOID,83.1,126.0
-1.86,0.23,AVOID,82.8,129.0
-2.18,0.14,AVOID,82.5,131.0
-2.09,0.09,AVOID,82.1,134.0
-1.75,0.39,CLEAN,81.8,136.0
-1.76,0.39,CLEAN,81.4,139.0
-1.76,0.39,CLEAN,81.0,142.0
-1.95,0.37,AVOID,80.6,145.0
0.00,0.00,CLEAN,75.1,186.0
0.00,0.00,CLEAN,69.1,231.0
0.00,0.00,CLEAN,66.4,251.0
0.00,0.00,CLEAN,61.7,291.0
0.00,0.00,CLEAN,58.4,312.0
0.00,0.00,CLEAN,55.1,342.0
0.00,0.00,CLEAN,50.4,372.0
0.00,0.00,CLEAN,50.3,372.0
0.00,0.00,CLEAN,47.6,393.0
0.00,0.00,CLEAN,41.6,438.0
0.00,0.00,WANDER,36.2,478.0
0.00,0.00,WANDER,36.2,478.0
0.00,0.00,WANDER,34.2,493.0
0.00,0.00,WANDER,31.5,513.0
0.00,0.00,WANDER,27.5,543.0
0.00,0.00,WANDER,27.5,543.0
0.00,0.00,WANDER,24.8,563.0
0.00,0.00,WANDER,24.8,563.0
0.00,0.00,WANDER,21.5,588.0
0.00,0.00,TRACK,16.4,627.0
0.00,0.00,TRACK,9.6,678.0
0.00,0.00,TRACK,9.1,681.0
0.00,0.00,TRACK,8.8,684.0
0.00,0.00,TRACK,8.3,687.0
0.00,0.00,TRACK,7.2,696.0
0.00,0.00,TRACK,6.7,699.0
0.00,0.00,TRACK,6.5,701.0
0.00,0.00,TRACK,6.3,702.0
0.00,0.00,TRACK,5.6,708.0
0.00,0.00,TRACK,3.8,721.0
0.00,0.00,TRACK,1.9,735.0
0.00,0.00,TRACK,0.8,744.0
