time_sec,distance_m,battery_pct,behaviour
12.0,1.021,98.4,CLEAN
15.0,1.814,98.0,CLEAN
17.0,2.541,97.7,CLEAN
20.0,3.198,97.3,CLEAN
26.0,4.683,96.5,CLEAN
29.0,5.370,96.1,CLEAN
36.0,8.152,95.2,CLEAN
39.0,9.422,94.8,CLEAN
41.0,10.313,94.5,CLEAN
44.0,11.180,94.1,CLEAN
46.0,11.699,93.9,CLEAN
48.0,12.402,93.6,CLEAN
51.0,13.256,93.2,CLEAN
53.0,13.934,92.9,CLEAN
56.0,14.606,92.5,CLEAN
58.0,15.372,92.3,CLEAN
60.0,16.127,92.0,CLEAN
63.0,17.367,91.6,CLEAN
65.0,18.208,91.3,CLEAN
68.0,18.896,90.9,CLEAN
70.0,19.627,90.7,CLEAN
73.0,20.249,90.3,CLEAN
75.0,21.064,90.0,CLEAN
78.0,22.111,89.6,CLEAN
81.0,22.841,89.3,CLEAN
83.0,23.623,88.9,CLEAN
88.0,25.202,88.3,CLEAN
92.0,26.001,87.7,AVOID
95.0,26.640,87.3,AVOID
98.0,27.280,86.9,AVOID
100.0,27.727,86.7,AVOID
102.0,28.339,86.4,AVOID
107.0,29.345,85.7,CLEAN
109.0,30.181,85.5,CLEAN
113.0,31.304,84.9,CLEAN
115.0,31.952,84.7,CLEAN
117.0,32.455,84.4,CLEAN
120.0,33.322,84.0,CLEAN
127.0,35.798,83.1,CLEAN
132.0,36.731,82.4,CLEAN
138.0,38.383,81.6,CLEAN
140.0,39.436,81.3,CLEAN
150.0,42.658,80.0,CLEAN
157.0,45.186,79.1,CLEAN
160.0,46.188,78.7,CLEAN
162.0,47.449,78.4,CLEAN
165.0,48.346,78.0,CLEAN
172.0,50.847,77.1,CLEAN
175.0,52.006,76.7,CLEAN
184.0,54.670,75.5,AVOID
187.0,55.311,75.1,AVOID
190.0,56.019,74.7,AVOID
192.0,56.510,74.4,AVOID
194.0,57.114,74.1,AVOID
199.0,58.255,73.5,CLEAN
201.0,59.021,73.2,CLEAN
204.0,60.070,72.8,CLEAN
206.0,60.723,72.5,AVOID
210.0,61.857,72.0,CLEAN
213.0,62.521,71.6,CLEAN
217.0,63.492,71.2,CLEAN
219.0,64.710,70.8,CLEAN
223.0,65.956,70.3,CLEAN
225.0,66.841,70.0,CLEAN
230.0,68.145,69.3,CLEAN
233.0,68.989,68.9,CLEAN
239.0,71.352,68.1,CLEAN
247.0,73.007,67.1,CLEAN
254.0,74.822,66.1,CLEAN
261.0,76.336,65.2,CLEAN
265.0,77.535,64.7,CLEAN
275.0,79.465,63.3,CLEAN
282.0,82.076,62.4,CLEAN
285.0,83.073,62.0,CLEAN
288.0,84.314,61.6,CLEAN
308.0,87.343,58.9,AVOID
311.0,87.803,58.5,AVOID
317.0,89.159,57.7,CLEAN
319.0,89.845,57.5,CLEAN
325.0,91.099,56.7,CLEAN
330.0,92.948,56.0,CLEAN
345.0,96.257,54.0,CLEAN
348.0,97.057,53.6,CLEAN
350.0,97.687,53.3,CLEAN
353.0,98.292,52.9,CLEAN
355.0,98.926,52.7,CLEAN
360.0,100.462,52.0,CLEAN
364.0,101.314,51.5,AVOID
367.0,102.172,51.1,AVOID
376.0,105.389,49.9,CLEAN
403.0,109.519,46.3,CLEAN
405.0,110.168,46.0,CLEAN
408.0,110.970,45.6,CLEAN
410.0,111.776,45.3,CLEAN
423.0,115.211,43.6,AVOID
426.0,116.431,43.2,CLEAN
429.0,117.093,42.8,CLEAN
433.0,118.586,42.3,CLEAN
436.0,119.454,41.9,CLEAN
440.0,120.874,41.3,CLEAN
453.0,125.646,39.6,WANDER
455.0,126.552,39.3,AVOID
458.0,127.138,38.9,AVOID
461.0,127.648,38.7,AVOID
463.0,128.294,38.3,AVOID
467.0,129.410,37.7,WANDER
469.0,130.434,37.5,WANDER
472.0,131.704,37.1,WANDER
474.0,132.673,36.8,WANDER
476.0,133.825,36.5,WANDER
479.0,135.101,36.1,WANDER
482.0,136.103,35.7,WANDER
485.0,137.613,35.3,WANDER
487.0,138.269,35.1,AVOID
490.0,138.928,34.7,AVOID
493.0,140.054,34.3,WANDER
495.0,140.618,34.0,AVOID
498.0,141.295,33.6,AVOID
500.0,141.964,33.3,AVOID
504.0,142.686,32.8,AVOID
508.0,144.129,32.3,AVOID
512.0,145.125,31.7,AVOID
523.0,148.448,30.3,AVOID
525.0,149.135,30.0,AVOID
528.0,150.201,29.6,AVOID
531.0,151.051,29.2,AVOID
544.0,155.717,27.5,WANDER
549.0,157.237,26.8,WANDER
564.0,160.189,24.8,WANDER
567.0,161.210,24.4,WANDER
569.0,162.454,24.1,WANDER
576.0,164.621,23.2,WANDER
579.0,165.894,22.8,WANDER
586.0,167.414,21.9,WANDER
588.0,168.611,21.6,AVOID
591.0,169.317,21.2,AVOID
595.0,170.354,20.7,AVOID
603.0,172.602,19.6,TRACK
605.0,173.259,19.3,TRACK
