time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,distance_m,behaviour,sonar_0,sonar_1,sonar_2,cam_score,clean_phase,wp_index
12.0,1.78,-0.78,98.4,-1.1900,1.2200,1.021,CLEAN,1.000,1.000,1.000,0.372,NAVIGATING,0
15.0,1.79,-0.71,98.0,-1.5400,1.3400,1.814,CLEAN,1.000,1.000,1.000,0.385,NAVIGATING,0
17.0,1.76,-0.68,97.7,-0.3100,1.3100,2.541,CLEAN,1.000,1.000,1.000,0.324,NAVIGATING,1
20.0,1.67,-0.58,97.3,-1.2200,2.4100,3.198,CLEAN,0.900,1.000,1.000,0.278,NAVIGATING,1
26.0,1.96,-1.52,96.5,-2.3700,1.8500,4.683,CLEAN,0.300,0.300,0.400,0.352,NAVIGATING,3
29.0,1.91,-1.57,96.1,-1.2400,1.7300,5.370,CLEAN,0.600,0.600,0.600,0.284,NAVIGATING,3
36.0,0.28,-1.31,95.2,-2.5000,-1.1200,8.152,CLEAN,0.900,1.000,1.000,0.312,NAVIGATING,4
39.0,-0.12,-1.28,94.8,-0.5300,0.8800,9.422,CLEAN,0.900,1.000,1.000,0.388,NAVIGATING,4
41.0,-0.57,-1.25,94.5,0.9500,2.1300,10.313,CLEAN,0.900,1.000,1.000,0.357,NAVIGATING,5
44.0,-0.57,-1.25,94.1,2.4200,1.2800,11.180,CLEAN,1.000,1.000,0.500,0.327,NAVIGATING,5
46.0,-0.62,-1.23,93.9,1.8300,0.9400,11.699,CLEAN,1.000,1.000,0.500,0.294,NAVIGATING,5
48.0,-0.62,-1.23,93.6,1.3500,2.0400,12.402,CLEAN,1.000,0.900,0.900,0.302,NAVIGATING,6
51.0,-0.71,-1.17,93.2,2.8400,1.4200,13.256,CLEAN,1.000,1.000,0.500,0.407,NAVIGATING,6
53.0,-0.52,-1.12,92.9,3.5700,1.6700,13.934,CLEAN,1.000,0.400,1.000,0.408,NAVIGATING,7
56.0,-0.52,-1.05,92.5,3.0700,2.7900,14.606,CLEAN,1.000,1.000,1.000,0.413,NAVIGATING,7
58.0,-0.59,-1.00,92.3,2.7000,4.1900,15.372,CLEAN,1.000,1.000,1.000,0.363,NAVIGATING,7
60.0,-0.79,-1.00,92.0,3.1100,4.8100,16.127,CLEAN,0.800,0.800,1.000,0.388,NAVIGATING,8
