time_sec,gps_x,gps_y,battery_pct,left_enc,right_enc,coverage_pct,behavior
11.5,1.91,-0.78,99.5,0.53,0.41,0.0,AVOID(spin_burst)
104.0,1.26,-0.61,96.0,1.60,4.87,1.2,CLEAN
113.1,0.30,-0.76,95.7,0.21,6.69,3.1,AVOID(coast)
124.2,-0.05,-0.99,95.3,0.25,5.75,4.3,CLEAN
135.8,-0.19,-1.24,94.9,1.41,6.10,5.1,AVOID(spin_burst)
160.7,1.01,-1.55,93.9,2.18,7.44,8.6,AVOID(wall)
242.8,1.62,-1.51,90.9,4.26,9.39,10.2,CLEAN
280.1,1.31,-1.47,89.5,6.42,9.85,10.2,CLEAN
334.5,0.72,-1.35,87.5,8.82,12.68,10.2,CLEAN
389.4,-0.02,-1.28,85.5,12.06,15.47,10.5,CLEAN
454.2,-0.55,-0.95,83.1,13.41,16.79,12.1,AVOID(check_pause)
482.1,-0.55,-0.95,82.0,14.08,16.20,12.1,AVOID(coast)
512.0,-0.46,-1.06,80.9,14.65,17.15,12.1,CLEAN
553.4,-0.32,-1.14,79.4,15.02,17.76,12.5,AVOID(backup)
564.5,-0.26,-1.16,79.0,15.13,17.88,12.5,AVOID(spin_burst)
589.6,-0.17,-1.18,78.0,15.30,18.42,12.5,AVOID(coast)
610.3,-0.20,-1.19,77.3,14.92,18.69,12.5,AVOID(spin_burst)
625.8,-0.20,-1.18,76.7,14.73,18.93,12.5,AVOID(check_pause)
669.4,-0.16,-1.18,75.1,15.26,18.59,12.5,AVOID(backup)
742.0,-0.18,-1.12,72.4,14.83,19.93,12.5,CLEAN
848.3,-0.52,-0.56,68.5,17.16,22.85,14.1,CLEAN
906.4,-0.92,-0.83,66.3,18.28,23.49,15.6,CLEAN
937.4,-1.03,-1.13,65.2,18.52,24.36,16.4,CLEAN
1047.3,-0.50,-1.19,61.1,20.14,27.09,16.8,AVOID(coast)
1113.0,-0.47,-1.14,58.7,20.84,26.50,16.8,AVOID(check_pause)
1166.6,-0.26,-1.22,56.7,21.48,27.58,16.8,AVOID(spin_burst)
1208.1,-0.27,-1.22,55.1,20.96,28.01,16.8,AVOID(check_pause)
1253.6,-0.26,-1.22,53.4,21.44,27.54,16.8,AVOID(spin_burst)
1285.3,-0.18,-1.25,52.3,21.78,27.92,16.8,AVOID(backup)
1329.2,-0.20,-1.25,50.7,20.98,28.51,16.8,AVOID(check_pause)
1357.1,-0.16,-1.01,49.6,22.28,29.66,16.8,CLEAN
1390.1,-0.19,-0.98,48.4,22.54,29.83,16.8,AVOID(spin_burst)
1442.4,-0.18,-0.98,46.5,22.83,29.55,16.8,AVOID(check_pause)
1459.6,-0.16,-0.95,45.8,22.95,30.45,16.8,AVOID(spin_burst)
1496.4,-0.20,-0.92,44.5,23.62,31.44,16.8,AVOID(spin_burst)
1515.6,-0.24,-0.88,43.7,24.00,32.01,16.8,AVOID(coast)
1560.0,-0.27,-0.84,42.1,25.07,33.44,16.8,CLEAN
1599.3,-0.28,-0.82,40.7,26.46,33.44,16.8,AVOID(backup)
1621.0,-0.26,-0.85,39.9,26.71,33.31,16.8,AVOID(backup)
1629.6,0.05,-1.50,39.6,28.03,33.26,17.2,AVOID(coast)
1642.8,1.11,-0.32,39.0,28.59,31.70,19.5,AVOID(check_pause)
1653.5,-0.47,-0.11,38.7,28.49,31.40,24.2,WANDER
1689.2,-0.85,-0.93,37.3,29.98,32.38,27.7,WANDER
1808.4,-1.25,0.03,32.9,34.22,35.73,30.1,AVOID(spin_burst)
1863.1,-1.05,0.49,30.9,36.72,37.99,30.9,WANDER
1957.3,-1.01,0.64,27.4,40.59,42.37,31.6,WANDER
2077.6,-1.02,0.63,23.0,48.13,49.75,31.6,WANDER
2182.8,-1.02,0.63,19.0,52.36,55.89,31.6,TRACK(gps)
2290.1,-1.06,0.70,15.1,51.00,56.96,31.6,TRACK(gps)
2311.6,-1.03,0.72,14.3,50.87,56.97,31.6,AVOID(backup)
2344.4,-1.08,0.74,13.1,49.50,57.10,32.4,TRACK(gps)
2368.8,-0.87,0.73,12.1,52.74,59.32,32.4,TRACK(gps)
2429.3,-0.87,0.73,10.0,55.89,61.10,32.4,TRACK(gps)
2529.9,-0.87,0.73,6.2,61.10,64.04,32.4,TRACK(gps)
2554.9,-0.87,0.73,5.3,63.15,65.20,32.4,TRACK(gps)
2588.3,-0.87,0.73,4.0,65.51,66.52,32.4,TRACK(gps)
2619.3,-0.87,0.73,2.9,67.57,67.69,32.4,TRACK(gps)
2668.7,-0.87,0.73,1.1,70.19,69.16,32.4,TRACK(gps)
